No.,Study,MAG,Size_bp,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination
1302,UHGG,MGYG000000740,2359825,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__CAG-312,g__CAG-312,s__CAG-312 sp001917305,95.27,0.68
1303,UHGG,MGYG000000741,2390173,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-170,s__CAG-170 sp900548625,95.97,1.34
1304,UHGG,MGYG000000742,2345274,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister sp900541605,98.96,0
1305,UHGG,MGYG000000743,2477350,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-110,s__CAG-110 sp000434635,99.11,0
1306,UHGG,MGYG000000745,2615728,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-74,g__RUG563,s__,93.55,0.37
1307,UHGG,MGYG000000746,2046986,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA1777,s__,91.61,0
1308,UHGG,MGYG000000747,2418810,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-74,g__RUG563,s__,90.47,3.57
1309,UHGG,MGYG000000748,1946382,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-552,g__UBA10677,s__,90.71,0
1310,UHGG,MGYG000000749,1250048,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-917,g__CAG-917,s__,78.12,0.93
1311,UHGG,MGYG000000750,1783127,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-724,s__,82.1,0
1312,UHGG,MGYG000000751,1147622,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__UBA1242,g__UBA11490,s__,91.57,2.25
1313,UHGG,MGYG000000752,2697118,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA737,s__,93.65,0.67
1314,UHGG,MGYG000000753,1854497,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__,93.29,0
1315,UHGG,MGYG000000754,1511164,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus sp900555155,79.91,1.72
1316,UHGG,MGYG000000757,982783,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Negativicoccaceae,g__Negativicoccus,s__Negativicoccus massiliensis,70.4,0.67
1317,UHGG,MGYG000000759,1836417,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Corynebacterium,s__,77.77,1.97
1318,UHGG,MGYG000000760,2818339,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__,99.17,0
1319,UHGG,MGYG000000763,1466466,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__,54.23,0.78
1320,UHGG,MGYG000000764,1992577,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas_A,s__Porphyromonas_A sp900541275,97.01,0.31
1321,UHGG,MGYG000000766,1523934,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Ezakiellaceae,g__Fenollaria,s__Fenollaria sp900539225,98.25,0
1322,UHGG,MGYG000000767,2269129,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Paraeggerthella,s__Paraeggerthella hongkongensis,78.17,4.44
1323,UHGG,MGYG000000768,2207911,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542905,97.58,0.81
1324,UHGG,MGYG000000769,2100050,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544875,99.19,1.61
1325,UHGG,MGYG000000770,2217348,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544095,100,1.61
1326,UHGG,MGYG000000772,2044239,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541695,99.19,0.81
1327,UHGG,MGYG000000773,2056602,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__Bulleidia sp900539965,97.14,0
1328,UHGG,MGYG000000774,3366873,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Enterocloster,s__Enterocloster sp900543885,98.73,1.27
1329,UHGG,MGYG000000776,1658978,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__UBA5809,s__UBA5809 sp002417965,83.8,1.9
1330,UHGG,MGYG000000777,2148033,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544135,100,1.61
1331,UHGG,MGYG000000778,2085046,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541645,99.19,0.81
1332,UHGG,MGYG000000779,2667664,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp000431975,96.07,0.67
1333,UHGG,MGYG000000780,2105610,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900549455,97.85,0.81
1334,UHGG,MGYG000000782,1798867,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__Phascolarctobacterium_A sp900541915,99.4,0.9
1335,UHGG,MGYG000000783,2145785,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella_A,s__Veillonella_A sp900545795,97.21,1.5
1336,UHGG,MGYG000000784,1269692,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-611,g__CAG-417,s__CAG-417 sp000432835,100,0.12
1337,UHGG,MGYG000000785,1185697,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Lancefieldella,s__Lancefieldella sp900555335,70.69,1.72
1338,UHGG,MGYG000000786,1748688,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella sp900545205,85.19,2.63
1339,UHGG,MGYG000000787,2086603,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp002232035,96.99,0.12
1340,UHGG,MGYG000000788,2895183,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides pyogenes,90.44,1.38
1341,UHGG,MGYG000000789,2053989,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,98.39,0.81
1342,UHGG,MGYG000000790,2081813,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium nucleatum_E,92.7,0
1343,UHGG,MGYG000000791,1608604,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp900551615,81.18,1.17
1344,UHGG,MGYG000000792,1373170,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Eubacterium_M,s__Eubacterium_M sp900540015,97.16,0
1345,UHGG,MGYG000000793,1894833,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Succinivibrionaceae,g__Succinivibrio,s__Succinivibrio sp900548485,84.24,0
1346,UHGG,MGYG000000794,2368186,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Megamonas,s__Megamonas sp900554895,72.81,1.75
1347,UHGG,MGYG000000795,1972498,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,87.56,1.61
1348,UHGG,MGYG000000796,2621918,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Turicimonas,s__Turicimonas muris,97.19,0
1349,UHGG,MGYG000000797,2093052,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544755,95.97,0.95
1350,UHGG,MGYG000000798,2225766,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542945,97.58,0.81
1351,UHGG,MGYG000000801,2156276,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542325,98.39,0.81
1352,UHGG,MGYG000000802,2225126,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900540855,100,0.81
1353,UHGG,MGYG000000803,542109,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Ureaplasma,s__Ureaplasma sp900544585,97.31,1.15
1354,UHGG,MGYG000000805,2084829,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900546825,95.97,1.61
1355,UHGG,MGYG000000806,2686211,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900541345,95.87,0
1356,UHGG,MGYG000000807,2221047,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Eubacteriales,f__Anaerofustaceae,g__Anaerofustis,s__Anaerofustis sp900549875,98.59,3.52
1357,UHGG,MGYG000000808,1884951,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,s__Oscillibacter sp900556925,64.67,2.01
1358,UHGG,MGYG000000809,2343519,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UBA1691,s__UBA1691 sp900549825,90.94,2.01
1359,UHGG,MGYG000000810,2278510,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Sutterella,s__Sutterella sp900543805,95.5,0.62
1360,UHGG,MGYG000000811,2115809,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp003465825,94.35,0.81
1361,UHGG,MGYG000000812,1921914,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,85.48,0.81
1362,UHGG,MGYG000000813,1978596,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Gastranaerophilales,f__Gastranaerophilaceae,g__Zag1,s__Zag1 sp000437435,88.89,1.28
1363,UHGG,MGYG000000814,1710044,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__CAG-521,s__CAG-521 sp900546995,86.81,0
1364,UHGG,MGYG000000815,4510901,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Dysgonomonas,s__Dysgonomonas capnocytophagoides,100,0
1365,UHGG,MGYG000000817,2136964,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Catenibacterium,s__Catenibacterium sp900540665,96.23,0
1366,UHGG,MGYG000000818,1248586,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__,66.95,2.94
1367,UHGG,MGYG000000820,2712076,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Monoglobales_A,f__UBA9506,g__UBA9506,s__UBA9506 sp003506415,95.97,0
1368,UHGG,MGYG000000821,2141919,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Sutterella,s__,96.42,0
1369,UHGG,MGYG000000823,2131500,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes sp900550375,89.12,1.92
1370,UHGG,MGYG000000824,2120674,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-485,s__CAG-485 sp900552315,81.61,1.67
1371,UHGG,MGYG000000825,2700478,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Duncaniella,s__Duncaniella sp900544535,96.98,1.07
1372,UHGG,MGYG000000826,2075639,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900550415,92.28,2.62
1373,UHGG,MGYG000000827,2287148,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900551195,99.19,1.61
1374,UHGG,MGYG000000829,2305677,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__UBA7748,s__UBA7748 sp900314535,99.19,0.81
1375,UHGG,MGYG000000830,2260107,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544755,99.91,2.42
1376,UHGG,MGYG000000832,2218408,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp003439125,98.39,0.81
1377,UHGG,MGYG000000833,2326911,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp003436275,98.39,0.81
1378,UHGG,MGYG000000835,2188673,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,96.45,4.23
1379,UHGG,MGYG000000836,1764500,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__Borkfalkiaceae,g__UBA10281,s__UBA10281 sp000437515,93.35,0.81
1380,UHGG,MGYG000000837,2171635,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,s__Oscillibacter sp900544105,93.66,0.34
1381,UHGG,MGYG000000838,1767761,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum sp900557315,71.31,3.83
1382,UHGG,MGYG000000839,2735655,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sp900540255,96.75,0
1383,UHGG,MGYG000000840,2579152,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Sutterella,s__,97.52,0.16
1384,UHGG,MGYG000000841,2174241,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,s__Oscillibacter sp900544615,96.64,1.01
1385,UHGG,MGYG000000842,1846287,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900540845,99.19,0.81
1386,UHGG,MGYG000000843,2470970,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus sp900540605,98.95,0.52
1387,UHGG,MGYG000000844,1387413,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus apis,72.47,0.96
1388,UHGG,MGYG000000845,2267424,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp003469205,100,1.61
1389,UHGG,MGYG000000846,2190850,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541685,99.19,0.81
1390,UHGG,MGYG000000847,2084328,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus sp900538365,100,0
1391,UHGG,MGYG000000850,1767218,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__CAG-521,s__CAG-521 sp900544345,97.4,1.25
1392,UHGG,MGYG000000851,2227060,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp900552325,88.21,2.89
1393,UHGG,MGYG000000852,2918004,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900545525,94.26,0.94
1394,UHGG,MGYG000000853,3157276,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900549175,90.78,1.41
1395,UHGG,MGYG000000854,2733305,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Paraprevotella,s__Paraprevotella sp900548345,88.4,0.37
1396,UHGG,MGYG000000855,2256268,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900540875,100,0.81
1397,UHGG,MGYG000000856,2096757,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp003459505,99.19,1.28
1398,UHGG,MGYG000000857,1764654,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp900552555,75.21,0.45
1399,UHGG,MGYG000000858,2197901,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900542155,98.66,0.81
1400,UHGG,MGYG000000860,1828071,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Haemophilus_D,s__,93.87,1.21
1401,UHGG,MGYG000000861,2145101,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella_B,s__Olsenella_B sp900548775,87.83,0.81
1402,UHGG,MGYG000000862,2326547,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__,100,1.61
1403,UHGG,MGYG000000863,2015892,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__CAG-312,g__UMGS1490,s__UMGS1490 sp900547395,95.27,1.69
1404,UHGG,MGYG000000864,2413963,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-632,s__CAG-632 sp900539185,99.33,0
1405,UHGG,MGYG000000865,1614838,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900554255,75.61,1.69
1406,UHGG,MGYG000000866,1503128,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotellamassilia,s__Prevotellamassilia sp900556465,56.67,0
1407,UHGG,MGYG000000867,1874565,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA1409,s__UBA1409 sp002338885,93.62,0
1408,UHGG,MGYG000000868,1947873,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900544425,96.17,0.88
1409,UHGG,MGYG000000869,768550,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__UBA1242,g__UBA11517,s__UBA11517 sp003522085,83.37,1.12
1410,UHGG,MGYG000000870,3134704,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia sp004167605,97.96,0
1411,UHGG,MGYG000000872,2772884,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp900540205,98.75,0.38
1412,UHGG,MGYG000000873,2049752,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp900539765,99.61,0.47
1413,UHGG,MGYG000000874,1307174,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__RF32,f__CAG-239,g__CAG-267,s__CAG-267 sp900551865,74.91,0
1414,UHGG,MGYG000000875,1875451,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-138,g__CAG-1024,s__CAG-1024 sp000432015,96.61,0.81
1415,UHGG,MGYG000000876,1718013,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__,69.1,3.71
1416,UHGG,MGYG000000877,2052192,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900545495,93.96,0.73
1417,UHGG,MGYG000000878,2047179,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541145,97.58,0.81
1418,UHGG,MGYG000000879,2269825,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541665,99.19,0.81
1419,UHGG,MGYG000000880,1799935,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900555355,82.26,4.03
1420,UHGG,MGYG000000881,2142946,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900545075,96.1,1.04
1421,UHGG,MGYG000000883,1720775,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-170,s__CAG-170 sp900555665,77.3,3.36
1422,UHGG,MGYG000000884,2163347,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-103,s__CAG-103 sp900317855,92.28,0
1423,UHGG,MGYG000000885,2151266,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900541785,99.19,0.81
1424,UHGG,MGYG000000886,2937871,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA2882,s__UBA2882 sp900542015,97.7,0.57
1425,UHGG,MGYG000000887,1303871,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-302,g__CAG-914,s__CAG-914 sp000437895,92,0
1426,UHGG,MGYG000000889,2172459,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-279,s__CAG-279 sp900541555,96.23,0.19
1427,UHGG,MGYG000000892,2629881,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CAG-115,s__CAG-115 sp002492075,83.34,2.68
1428,UHGG,MGYG000000894,1390532,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-382,g__UMGS1307,s__UMGS1307 sp900550505,79.07,0
1429,UHGG,MGYG000000896,2091469,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900540895,100,0.81
1430,UHGG,MGYG000000898,2143386,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-138,g__UBA5394,s__UBA5394 sp900542615,95.3,0.27
1431,UHGG,MGYG000000899,1597492,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-138,g__UMGS1241,s__UMGS1241 sp900549955,84.78,0.81
1432,UHGG,MGYG000000900,2178918,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__UMGS902,s__UMGS902 sp900546635,97.43,1.85
1433,UHGG,MGYG000000901,2058329,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Acidaminococcus,s__Acidaminococcus fermentans,100,0
1434,UHGG,MGYG000000903,1712909,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-269,s__CAG-269 sp900553985,71.52,0.67
1435,UHGG,MGYG000000904,1807375,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900553415,82.48,2.42
1436,UHGG,MGYG000000905,802447,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900555555,61.29,0
1437,UHGG,MGYG000000906,2359165,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola sp900552075,75.39,0.19
1438,UHGG,MGYG000000907,1602935,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella sp900551665,79.74,0.81
1439,UHGG,MGYG000000908,1980396,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Beduini,s__Beduini sp900550005,82.83,0.47
1440,UHGG,MGYG000000909,3035568,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA9502,s__UBA9502 sp900538475,99.37,0
1441,UHGG,MGYG000000910,1136343,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,s__Flavonifractor sp900199495,62.77,0.22
1442,UHGG,MGYG000000911,2030892,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Slackia_A,s__Slackia_A sp900553775,84.07,2.62
